platform,count
PC,18729
PlayStation 4,5545
Nintendo Switch,4819
PlayStation 2,4165
Xbox One,4132
Nintendo DS,3722
PlayStation 3,3082
Xbox 360,3057
PlayStation,2874
PSP,2164
Wii,2157
iOS,2125
Xbox Live,2120
PlayStation Network,2004
Game Boy Advance,1941
Xbox Series X / S,1833
Game Boy,1599
PlayStation Vita,1535
PlayStation 5,1483
Nintendo 3DS,1474
Xbox,1372
SNES,1211
NES,1106
Android,1051
GameCube,958
Nintendo DSi,829
Sega Genesis,804
Wii U,790
Sega Saturn,739
Dreamcast,732
MacOS,673
Virtual Console,661
Atari 2600,501
WW,465
PCE,459
Nintendo 64,447
Linux,370
MS,336
Game Gear,332
3DO,305
Sega CD,218
WS,199
Neo Geo,172
Intellivision,134
Atari Lynx,89
Atari 5200,73
Atari Jaguar,72
PCFX,67
Browser,63
N-Gage,61
Atari 7800,59
Gizmondo,55
Arcade,52
ColecoVision,46
Commodore 64,34
OR,31
Amiga,30
MSD,27
Ouya,25
Virtual Boy,22
Mobile,20
ACPC,20
ZX Spectrum,19
iQue,17
AST,17
Game Boy Color,16
Meta Quest,11
MSX,9
Philips CD-i,6
ApII,6
Stadia,5
Sega 32X,3
CD32,3
FMT,3
TG16,3
FDS,1
C128,1
Aco,1
BBC Micro,1
